"RunID","ADDRESS","ADDRESSEE","ADDRESS_ONE","ADDRESS_THREE","ADDRESS_TWO","ATTENTION","BRANCH_ID","CITY","COUNTRY","DATE_LAST_MODIFIED","FULL_NAME","INVENTORY_AVAILABLE","INVENTORY_AVAILABLE_WEB_STORE","ISINACTIVE","IS_INCLUDE_IN_SUPPLY_PLANNING","LINE_OF_BUSINESS_ID","LOCATION_EXTID","LOCATION_ID","NAME","PARENT_ID","PHONE","RETURNADDRESS","RETURN_ADDRESS_ONE","RETURN_ADDRESS_TWO","RETURN_CITY","RETURN_COUNTRY","RETURN_STATE","RETURN_ZIPCODE","STATE","TRAN_NUM_PREFIX","ZIPCODE"
"197","Azmi Bangunan MIGA, Lot 1998/C, Jalan Perusahaan 3, Taman Industri Selesa Jaya (Balakong), Balakong,  43300 Malaysia","Azmi","Bangunan MIGA, Lot 1998/C,",,"Jalan Perusahaan 3, Taman Industri Selesa Jaya (Balakong),",,,"Balakong,","MY","2014-07-22 18:18:47","MEGA - MEGA BALAKONG","Yes","Yes","No","No","105",,"1","MEGA - MEGA BALAKONG",,"016-2733420","Afghanistan",,,,"AF",,,"Selangor",,"43300"
"197","Lim Chong Hui PT43117, Batu 13, Off Jalan Balakong, Balakong,  43300 Malaysia","Lim Chong Hui","PT43117, Batu 13,",,"Off Jalan Balakong,",,,"Balakong,","MY","2014-07-22 18:18:47","BOOK CLUB MAIN WAREHOUSE","Yes","Yes","No","No","101",,"2","BOOK CLUB MAIN WAREHOUSE",,"03-89623378","Afghanistan",,,,"AF",,,"Selangor,",,"43300"
"197","Lim Chong Hui Lot 1998/C, Jalan Perusahaan 3, Taman Industri Selesa Jaya (Balakong), Balakong,  43300 Malaysia","Lim Chong Hui","Lot 1998/C, Jalan Perusahaan 3,",,"Taman Industri Selesa Jaya (Balakong),",,,"Balakong,","MY","2014-07-22 18:18:47","BOOK CLUB PUBLIC WAREHOUSE","Yes","Yes","No","No","101",,"3","BOOK CLUB PUBLIC WAREHOUSE",,"03-89623378","Afghanistan",,,,"AF",,,"Selangor,",,"43300"
"197","BOOK CLUB RESERVED WAREHOUSE  Malaysia","BOOK CLUB RESERVED WAREHOUSE",,,,,,,"MY","2014-09-29 04:59:11","BOOK CLUB RESERVED WAREHOUSE","Yes","Yes","No","No","101",,"4","BOOK CLUB RESERVED WAREHOUSE",,,"Afghanistan",,,,"AF",,,,,
"197","Grolier Malaysia Malaysia","Grolier Malaysia",,,,,,,"MY","2014-07-22 18:18:46","BOOK CLUB EXCESS WAREHOUSE","Yes","Yes","No","No","101",,"5","BOOK CLUB EXCESS WAREHOUSE",,,"Afghanistan",,,,"AF",,,,,
"197","Lim Chong Hui PT43117, Batu 13, Off Jalan Balakong, Balakong,  43300 Malaysia","Lim Chong Hui","PT43117, Batu 13,",,"Off Jalan Balakong,",,,"Balakong,","MY","2014-07-22 18:18:50","TRADE MAIN WAREHOUSE","Yes","Yes","No","No","103",,"6","TRADE MAIN WAREHOUSE",,"03-89623378","Afghanistan",,,,"AF",,,"Selangor,",,"43300"
"197","Grolier Malaysia Lot 1998/C, Jalan Perusahaan 3, Taman Industri Selesa Jaya (Balakong), Balakong,  43300 Malaysia","Grolier Malaysia","Lot 1998/C, Jalan Perusahaan 3,",,"Taman Industri Selesa Jaya (Balakong),",,,"Balakong,","MY","2014-07-22 18:18:50","TRADE PUBLIC WAREHOUSE","Yes","Yes","No","No","103",,"7","TRADE PUBLIC WAREHOUSE",,,"Afghanistan",,,,"AF",,,"Selangor,",,"43300"
"197","Grolier Malaysia Malaysia","Grolier Malaysia",,,,,,,"MY","2014-07-22 18:18:50","TRADE RESERVED WAREHOUSE","Yes","Yes","No","No","103",,"8","TRADE RESERVED WAREHOUSE",,,"Afghanistan",,,,"AF",,,,,
"197","Grolier Malaysia Malaysia","Grolier Malaysia",,,,,,,"MY","2014-07-22 18:18:50","TRADE EXCESS WAREHOUSE","Yes","Yes","No","No","103",,"9","TRADE EXCESS WAREHOUSE",,,"Afghanistan",,,,"AF",,,,,
"197","Lim Chong Hui PT43117, Batu 13, Off Jalan Balakong, Balakong,  43300 Malaysia","Lim Chong Hui","PT43117, Batu 13,",,"Off Jalan Balakong,",,,"Balakong,","MY","2014-10-16 09:21:44","EDUCATION MAIN WAREHOUSE","Yes","Yes","No","No","113",,"10","EDUCATION MAIN WAREHOUSE",,"03-89623378","Afghanistan",,,,"AF",,,"Selangor,",,"43300"
